RestaurantID,CuisineID,CuisineSequence
100001,9,1
100001,10,2
100002,1,1
100002,15,2
100003,1,1
100003,16,2
100004,3,1
100004,22,2
100005,19,1
100005,4,2
100006,3,1
100006,15,2
100007,12,1
100007,3,2
100008,22,1
100009,10,1
100009,4,2
100010,20,1
100010,6,2
100011,22,1
100012,9,1
100013,6,1
100013,17,2
100014,8,1
100014,17,2
100015,11,1
100015,22,2
100016,9,1
100016,15,2
100017,12,1
100018,11,1
100019,2,1
100019,16,2
100020,11,1
100021,20,1
100022,7,1
100023,10,1
100023,8,2
100024,14,1
100024,18,2
100024,16,3
100025,4,1
100025,11,2
100026,19,1
100026,6,2
100027,1,1
100027,19,2
100027,9,3
100028,2,1
100028,16,2
100029,8,1
100030,4,1
100031,12,1
100032,15,1
100032,4,2
100033,22,1
100033,2,2
100033,4,3
100034,11,1
100035,15,1
100035,8,2
100036,20,1
100036,9,2
100037,3,1
100038,22,1
100038,9,2
100039,16,1
100039,5,2
100040,12,1
100041,17,1
100042,9,1
100043,11,1
100044,21,1
100045,4,1
100045,13,2
100046,21,1
100046,12,2
100047,20,1
100048,5,1
100048,8,2
100049,18,1
100049,12,2
100050,12,1
100050,18,2
100050,1,3
100051,22,1
100051,19,2
100052,12,1
100052,16,2
100053,10,1
100053,16,2
100054,17,1
100055,14,1
100056,5,1
100057,17,1
100057,9,2
100058,4,1
100058,7,2
100059,8,1
100060,21,1
100061,21,1
100061,10,2
100062,10,1
100063,4,1
100064,19,1
100065,15,1
100065,21,2
100065,4,3
100066,16,1
100067,16,1
100067,8,2
100068,4,1
100068,18,2
100068,12,3
100069,19,1
100069,11,2
100070,17,1
100070,7,2
100070,16,3
100071,12,1
100071,13,2
100071,2,3
100072,1,1
100073,13,1
100074,3,1
100075,20,1
100076,22,1
100076,2,2
100077,15,1
100077,2,2
100078,15,1
100078,19,2
100078,21,3
100079,2,1
100080,14,1
100080,20,2
100081,17,1
100082,22,1
100083,5,1
100084,12,1
100085,8,1
100085,22,2
100086,19,1
100086,14,2
100087,22,1
100088,7,1
100089,16,1
100089,8,2
100090,22,1
100091,17,1
100091,20,2
100092,16,1
100093,5,1
100094,18,1
100095,3,1
100096,8,1
100096,12,2
100096,4,3
100097,20,1
100097,1,2
100098,7,1
100099,15,1
100100,10,1
100100,6,2
100100,16,3
100101,20,1
100101,8,2
100102,22,1
100103,11,1
100103,16,2
100103,19,3
100104,3,1
100105,9,1
100105,17,2
100105,1,3
100106,22,1
100107,2,1
100108,22,1
100108,8,2
100108,12,3
100109,14,1
100109,12,2
100110,5,1
100110,13,2
100111,17,1
100111,6,2
100112,11,1
100112,6,2
100112,22,3
100113,16,1
100114,9,1
100114,3,2
100115,17,1
100116,17,1
100116,13,2
100117,19,1
100118,5,1
100119,7,1
100119,6,2
100120,21,1
100121,11,1
100121,6,2
100122,3,1
100122,4,2
100123,21,1
100123,18,2
100124,5,1
100124,11,2
100125,10,1
100125,13,2
100126,11,1
100126,15,2
100126,9,3
100127,9,1
100127,13,2
100128,7,1
100128,6,2
100128,12,3
100129,11,1
100129,9,2
100130,3,1
100131,4,1
100132,18,1
100132,22,2
100133,11,1
100133,3,2
100134,15,1
100135,1,1
100136,5,1
100136,2,2
100137,21,1
100138,4,1
100138,19,2
100139,14,1
100140,4,1
100140,18,2
100141,9,1
100141,16,2
100142,9,1
100142,13,2
100142,22,3
100143,1,1
100144,9,1
100144,22,2
100144,17,3
100145,8,1
100146,2,1
100147,4,1
100147,6,2
100148,18,1
100149,13,1
100150,1,1
100151,13,1
100151,10,2
100152,16,1
100153,19,1
100154,14,1
100155,16,1
100155,14,2
100156,18,1
100157,15,1
100158,20,1
100159,16,1
100160,16,1
100161,3,1
100161,21,2
100162,4,1
100163,2,1
100163,10,2
100164,17,1
100164,13,2
100165,22,1
100165,10,2
100166,13,1
100167,8,1
100167,2,2
100168,22,1
100169,10,1
100170,13,1
100170,9,2
100171,15,1
100171,10,2
100172,20,1
100173,2,1
100174,22,1
100175,20,1
100175,22,2
100176,9,1
100177,19,1
100177,2,2
100178,16,1
100178,21,2
100178,1,3
100179,5,1
100180,22,1
100181,20,1
100181,15,2
100181,22,3
100182,18,1
100183,12,1
100184,4,1
100184,7,2
100185,18,1
100186,13,1
100187,1,1
100188,6,1
100189,11,1
100190,3,1
100190,20,2
100190,8,3
100191,13,1
100191,5,2
100192,11,1
100192,6,2
100193,1,1
100194,4,1
100195,1,1
100196,17,1
100196,15,2
100197,9,1
100198,5,1
100198,20,2
100199,12,1
100200,17,1
100200,10,2
100201,20,1
100202,1,1
100202,14,2
100203,8,1
100204,11,1
100204,3,2
100205,11,1
100205,9,2
100206,7,1
100207,12,1
100207,4,2
100208,6,1
100209,10,1
100209,2,2
100210,3,1
100210,5,2
100211,8,1
100211,7,2
100211,3,3
100212,12,1
100212,17,2
100213,19,1
100213,16,2
100213,1,3
100214,11,1
100214,20,2
100214,15,3
100215,16,1
100216,16,1
100217,7,1
100217,2,2
100218,17,1
100219,2,1
100220,10,1
100220,3,2
100221,13,1
100222,3,1
100223,9,1
100223,18,2
100223,8,3
100224,21,1
100224,18,2
100225,7,1
100225,8,2
100226,18,1
100227,18,1
100228,13,1
100229,22,1
100230,2,1
100231,9,1
100232,11,1
100233,21,1
100233,19,2
100233,15,3
100234,22,1
100234,8,2
100235,21,1
100235,16,2
100236,2,1
100236,8,2
100237,9,1
100238,14,1
100238,15,2
100239,16,1
100240,9,1
100240,11,2
100241,1,1
100242,9,1
100243,2,1
100243,19,2
100244,15,1
100245,7,1
100245,4,2
100246,12,1
100246,13,2
100247,11,1
100248,6,1
100248,16,2
100249,20,1
100250,19,1
100250,12,2
100251,10,1
100251,16,2
100252,4,1
100253,2,1
100254,19,1
100254,16,2
100255,15,1
100256,22,1
100257,14,1
100257,11,2
100258,17,1
100259,15,1
100259,5,2
100260,22,1
100261,10,1
100261,17,2
100262,22,1
100263,7,1
100264,20,1
100264,17,2
100265,22,1
100266,12,1
100267,1,1
100267,14,2
100268,19,1
100269,6,1
100269,21,2
100270,14,1
100270,3,2
100271,5,1
100272,18,1
100272,16,2
100272,2,3
100273,15,1
100273,20,2
100274,2,1
100275,7,1
100275,19,2
100276,14,1
100276,5,2
100277,16,1
100278,6,1
100279,15,1
100279,3,2
100280,3,1
100280,2,2
100281,8,1
100281,12,2
100281,4,3
100282,20,1
100283,6,1
100284,2,1
100284,14,2
100285,21,1
100285,6,2
100286,6,1
100287,22,1
100288,8,1
100288,2,2
100288,5,3
100289,19,1
100290,9,1
100290,13,2
100290,1,3
100291,1,1
100291,13,2
100292,9,1
100292,8,2
100293,1,1
100293,13,2
100294,21,1
100294,5,2
100295,15,1
100296,13,1
100296,11,2
100297,20,1
100297,10,2
100298,17,1
100299,16,1
100300,2,1
100300,13,2
100301,9,1
100301,17,2
100302,18,1
100302,11,2
100303,16,1
100304,11,1
100304,8,2
100305,19,1
100306,17,1
100306,1,2
100307,12,1
100308,10,1
100309,17,1
100309,1,2
100310,15,1
100311,10,1
100312,12,1
100312,11,2
100312,1,3
100313,14,1
100314,21,1
100314,15,2
100315,1,1
100315,22,2
100316,8,1
100317,5,1
100317,6,2
100318,3,1
100319,2,1
100319,3,2
100319,20,3
100320,11,1
100320,18,2
100320,13,3
100321,7,1
100321,19,2
100321,22,3
100322,16,1
100323,16,1
100323,6,2
100324,17,1
100324,16,2
100324,7,3
100325,3,1
100325,9,2
100326,10,1
100326,19,2
100327,14,1
100328,4,1
100329,22,1
100330,10,1
100330,4,2
100331,8,1
100332,6,1
100333,17,1
100333,1,2
100334,1,1
100335,2,1
100336,16,1
100337,22,1
100338,1,1
100339,6,1
100340,21,1
100340,1,2
100341,16,1
100342,12,1
100343,3,1
100343,13,2
100343,9,3
100344,20,1
100344,5,2
100345,3,1
100345,2,2
100346,9,1
100346,13,2
100347,15,1
100348,1,1
100349,12,1
100349,6,2
100350,22,1
100351,9,1
100351,6,2
100352,8,1
100352,13,2
100353,18,1
100354,11,1
100354,10,2
100355,7,1
100355,1,2
100356,12,1
100356,17,2
100357,5,1
100357,8,2
100357,18,3
100358,18,1
100359,1,1
100359,14,2
100360,3,1
100361,11,1
100361,15,2
100362,5,1
100362,8,2
100362,13,3
100363,9,1
100363,22,2
100364,17,1
100364,4,2
100365,15,1
100365,1,2
100366,2,1
100367,19,1
100367,14,2
100368,16,1
100368,22,2
100369,20,1
100370,3,1
100371,2,1
100371,4,2
100372,5,1
100372,18,2
100373,12,1
100373,5,2
100374,5,1
100375,15,1
100375,1,2
100375,9,3
