RestaurantID,Restaurant Name,LocationID,Price range,Aggregate rating,Rating text,Votes,Latitude,Longitude
100001,Spice Restaurant 282,2,1.0,2.5,Average,379.0,28.43612098286685,76.97369145751658
100002,Royal Restaurant 105,12,1.0,3.4,Good,214.0,23.042939712543006,72.62025271668423
100003,Grill Kitchen 605,7,1.0,3.8,Good,1655.0,18.582489664803372,73.82002583939419
100004,Spice Kitchen 224,5,2.0,2.4,Average,736.0,19.05532132757893,72.83891900943263
100005,Biryani Blues,1,2.0,4.3,Very Good,1604.0,28.648138834644104,77.17778888919798
100006,Subway,1,3.0,3.3,Good,443.0,28.69220287760524,77.27688276002051
100007,Bistro Lounge 430,1,1.0,2.4,Average,177.0,28.668666623573387,77.28058957589077
100008,Biryani Blues,10,2.0,3.7,Good,123.0,22.558464431022003,88.34472204361875
100009,Spice Hub 715,5,2.0,0.0,Not rated,18.0,19.106399699424188,72.93739666632246
100010,The Food Hub 221,6,2.0,3.1,Good,333.0,12.983479233797592,77.5145548302724
100011,Kitchen Kitchen 95,1,3.0,3.1,Good,370.0,28.590819211510258,77.24099198637258
100012,Kitchen Express 619,13,2.0,2.7,Average,105.0,25.21975525902336,55.31854602946395
100013,Spice Restaurant 471,9,3.0,3.9,Good,457.0,13.066116653420698,80.32342544531421
100014,Tasty Kitchen 566,1,1.0,2.8,Average,110.0,28.618252377721,77.21169140985687
100015,House Cafe 907,1,2.0,2.3,Average,441.0,28.56565608011788,77.2288127223284
100016,Cafe Point 722,1,1.0,3.4,Good,63.0,28.552197415458313,77.18390099795138
100017,The Belgian Waffle Co,1,1.0,2.2,Average,39.0,28.60387120875215,77.20988017428019
100018,Cafe Coffee Day,4,1.0,2.3,Average,110.0,28.42003495466901,77.31205244608032
100019,Green Kitchen 390,3,1.0,3.8,Good,585.0,28.496024771145038,77.38323984300662
100020,House Express 167,1,1.0,2.2,Average,34.0,28.632320333903532,77.24871298131937
100021,Green Bites 274,5,1.0,1.5,Poor,465.0,19.07749623293857,72.88522323024245
100022,House Bites 74,1,1.0,3.4,Good,24.0,28.636658809086416,77.26826103028274
100023,Royal Lounge 747,1,3.0,3.2,Good,133.0,28.646997349437566,77.2176791567022
100024,Curry House 277,2,1.0,2.9,Average,29.0,28.506525182503573,77.10329594039692
100025,House Restaurant 571,3,2.0,3.0,Good,6.0,28.55661452213047,77.43395235092599
100026,Pizza Hut,8,1.0,3.2,Good,287.0,17.374665748066896,78.48366197911787
100027,SPICE POINT 842,1,3.0,2.9,Average,136.0,28.62051019639323,77.21511090612186
100028,Pizza Hut,4,3.0,4.4,Very Good,41.0,28.49042133259101,77.28840046814372
100029,Urban Point 936,5,2.0,2.2,Average,76.0,19.110491264914128,72.88330723721027
100030,Bistro Express 218,1,2.0,3.5,Good,337.0,28.61640376226315,77.17461183282082
100031,Tasty Bites 470,5,1.0,3.4,Good,120.0,19.07073131678858,72.92426293729291
100032,McDonald's,1,4.0,3.1,Good,138.0,28.592961622167724,77.19697371296098
100033,Grill Lounge 270,1,3.0,2.7,Average,99.0,28.57234805065934,77.22144768746787
100034,Tasty Cafe 409,12,3.0,4.1,Very Good,107.0,23.082283967946502,72.49155470350676
100035,Royal Lounge 506,13,2.0,2.6,Average,75.0,25.221547466680526,55.26145046222329
100036,Domino's Pizza,8,1.0,2.6,Average,73.0,17.340590104755204,78.4736918516613
100037,Royal Bites 164,1,3.0,4.0,Very Good,84.0,28.609513149325327,77.24123231904645
100038,Tasty Cafe 66,1,1.0,3.0,Good,48.0,28.658367096369293,77.22728710986455
100039,Cafe Studio 542,6,2.0,2.0,Average,86.0,12.955957094485019,77.63024077271972
100040,Grill Corner 697,3,1.0,4.1,Very Good,99.0,28.506992966660984,77.4064927099795
100041,House Lounge 769,1,3.0,3.1,Good,46.0,28.62638690766188,77.25206947277037
100042,House Express 115,3,1.0,2.7,Average,424.0,28.558535263411418,77.40566953895599
100043,Royal Studio 4,1,1.0,3.2,Good,849.0,28.598301098506525,77.16083196805461
100044,Bistro Garden 996,11,2.0,3.6,Good,198.0,26.891416149510704,75.78413903874673
100045,Royal Lounge 935,1,2.0,4.5,Excellent,263.0,28.63002054909899,77.2076417747855
100046,The Belgian Waffle Co,6,2.0,2.1,Average,60.0,12.93223041357513,77.48031839624726
100047,House Lounge 624,1,1.0,3.5,Good,737.0,28.59506293129414,77.17342120792601
100048,Pizza Hut,4,1.0,3.5,Good,1707.0,28.40468742631663,77.38926075591132
100049,Grill Lounge 941,4,2.0,3.1,Good,145.0,28.43476612185176,77.30819075384377
100050,Pizza Hut,1,4.0,4.1,Very Good,115.0,28.598931442008762,77.205312906016
100051,Urban Express 900,13,3.0,4.0,Very Good,332.0,25.224515041674625,55.19455791396536
100052,The Food Point 60,8,2.0,2.3,Average,175.0,17.425811225218727,78.43954680363933
100053,Cafe Kitchen 88,12,3.0,4.5,Excellent,129.0,,72.58835170392577
100054,Urban Lounge 785,11,1.0,2.0,Average,251.0,27.025202495486997,75.77103380475708
100055,The Belgian Waffle Co,5,2.0,2.5,Average,504.0,19.125685261794736,72.83888863357245
100056,Grill Hub 272,11,2.0,3.0,Good,65.0,26.92193586554524,75.83270836827585
100057,Cafe House 988,1,1.0,4.3,Very Good,5561.0,28.607537471726186,77.18446002327228
100058,Haldiram's,1,3.0,3.2,Good,26.0,28.59446380400603,77.16346729714327
100059,Bistro Point 731,1,2.0,3.2,Good,62.0,28.67204445042893,77.21041609702652
100060,House Bites 383,2,1.0,3.9,Good,284.0,28.46686748972144,76.99807641472191
100061,Grill Studio 124,2,1.0,2.8,Average,2764.0,28.409141324586564,76.99803182691102
100062,Urban Express 22,1,1.0,2.2,Average,72.0,28.553975739368365,77.20686127866207
100063,Green Cafe 226,9,2.0,2.9,Average,44.0,13.086635458077621,80.24817512332702
100064,Starbucks,2,1.0,3.9,Good,421.0,28.464205587943574,76.96825780885553
100065,Green Kitchen 928,1,1.0,3.0,Good,127.0,28.581806023113568,77.22854982199323
100066,Pizza Hut,4,2.0,4.5,Excellent,556.0,28.355894711270206,77.34810730079882
100067,Subway,1,2.0,3.7,Good,185.0,28.54519188863815,77.2002292314358
100068,Curry Point 553,8,2.0,2.8,Average,57.0,17.35842344750874,78.50840576621772
100069,Biryani Blues,1,2.0,3.2,Good,3429.0,28.601203818076982,77.19608832118406
100070,Green Studio 827,14,3.0,2.8,Average,4.0,51.531611993240034,-0.1946484051695745
100071,Urban Kitchen 675,8,3.0,3.0,Good,1694.0,17.380438311436745,78.51807482464004
100072,Tasty House 479,1,3.0,5.0,Excellent,868.0,28.651139552997908,77.20552849174167
100073,Spice Bites 670,1,2.0,3.9,Good,83.0,28.635077502360375,77.21428491264155
100074,Urban Corner 413,9,1.0,3.6,Good,2064.0,13.100663052129516,80.26697855084342
100075,Urban Point 197,6,4.0,3.2,Good,32.0,13.005873702550499,77.58824485325252
100076,Barbeque Nation,7,1.0,4.0,Very Good,765.0,18.471865690242634,73.8616717208139
100077,McDonald's,8,1.0,3.7,Good,15.0,17.366231465221844,78.49234272330237
100078,Green Kitchen 454,1,1.0,4.2,Very Good,54.0,28.697949508457192,77.25322359519899
100079,Grill Kitchen 52,2,1.0,4.2,Very Good,53.0,28.392782051792487,77.04193522707999
100080,Grill Corner 993,1,4.0,2.6,Average,62.0,28.60347726116771,77.25017891534505
100081,Subway,10,2.0,2.5,Average,158.0,22.589265203184482,88.41664646912476
100082,Barbeque Nation,5,2.0,2.5,Average,55.0,19.01030720584607,72.82130159697144
100083,Tasty Corner 169,2,2.0,0.0,Not rated,7.0,28.433156188390868,77.07128363791055
100084,Tasty Garden 949,1,2.0,3.4,Good,339.0,28.683759871316145,77.23185841616116
100085,Curry Garden 434,1,1.0,2.6,Average,169.0,28.619865417068365,77.2260943115033
100086,Bistro Lounge 678,2,2.0,4.5,Excellent,403.0,28.43939416594103,77.06123484971764
100087,Royal Point 304,7,2.0,4.4,Very Good,293.0,18.52776645568262,73.84743203701788
100088,Domino's Pizza,5,1.0,3.0,Good,574.0,19.055827446895112,72.89879050022945
100089,Grill Corner 766,10,2.0,4.5,Excellent,220.0,22.632538255464112,88.3268778629125
100090,Spice Cafe 489,3,1.0,4.0,Very Good,769.0,28.50081405453887,77.34157816461698
100091,Grill Hub 59,1,1.0,2.7,Average,61.0,28.595602274041507,77.22760905717651
100092,Urban Hub 71,7,1.0,1.7,Poor,53.0,18.468172239471652,73.85426865476768
100093,House Point 414,7,1.0,2.9,Average,951.0,18.510059418884804,73.8565981130916
