ReviewID,RestaurantID,ReviewDate,ReviewText
1,100001,2025-09-12,noisy place and disappointing experience
2,100001,2025-03-31,overpriced food with disappointing service
3,100001,2026-04-15,slow service and cold food
4,100002,2026-04-02,noisy place and disappointing experience
5,100003,2026-01-11,really good food and fast delivery
6,100004,2025-02-13,long waiting time and average food
7,100004,2025-02-20,long waiting time and average food
8,100004,2025-08-08,noisy place and disappointing experience needs improvement
9,100005,2026-05-14,amazing experience highly recommended
10,100005,2025-04-08,amazing experience highly recommended
11,100006,2026-07-27,excellent food and friendly service
12,100006,2025-05-05,fresh ingredients and helpful staff not recommended
13,100007,2025-04-25,delivery was late and food was cold
14,100007,2025-01-13,bad service and small portions would visit again
15,100007,2025-10-09,poor experience and rude staff
16,100008,2025-09-09,excellent food and friendly service
17,100009,2026-06-08,great value and wonderful atmosphere
18,100009,2025-04-27,tasty food with quick service
19,100010,2025-02-24,slow service and cold food needs improvement
20,100011,2026-03-24,amazing experience highly recommended would visit again
21,100011,2026-03-23,really good food and fast delivery
22,100012,2026-05-29,delivery was late and food was cold
23,100013,2026-06-05,fresh ingredients and helpful staff
24,100016,2026-04-24,slow service and cold food
25,100018,2025-11-08,bad service and small portions
26,100018,2026-05-19,overpriced food with disappointing service
27,100018,2025-12-31,bad service and small portions
28,100019,2026-05-04,slow service and cold food
29,100019,2026-04-15,delicious dishes and great ambience would visit again
30,100019,2026-03-03,overpriced food with disappointing service
31,100021,2025-02-25,slow service and cold food
32,100021,2025-07-01,long waiting time and average food
33,100022,2025-04-09,delivery was late and food was cold worth trying
34,100022,2025-07-29,excellent food and friendly service
35,100022,2026-06-14,tasty food with quick service
36,100023,2026-03-12,really good food and fast delivery
37,100024,2026-06-22,bad service and small portions
38,100025,2025-08-23,fresh ingredients and helpful staff would visit again
39,100026,2025-12-05,tasty food with quick service
40,100026,2025-02-20,excellent food and friendly service
41,100027,2025-09-25,overpriced food with disappointing service
42,100028,2025-02-10,excellent food and friendly service needs improvement
43,100029,2026-02-21,delivery was late and food was cold
44,100029,2025-08-17,overpriced food with disappointing service
45,100030,2026-07-31,amazing experience highly recommended
46,100030,2026-05-03,fresh ingredients and helpful staff
47,100030,2025-03-14,really good food and fast delivery not recommended
48,100030,2026-08-04,excellent food and friendly service
49,100031,2026-05-05,tasty food with quick service
50,100031,2025-11-21,excellent food and friendly service
51,100032,2026-03-11,amazing experience highly recommended
52,100032,2025-03-13,poor experience and rude staff
53,100033,2026-04-05,poor experience and rude staff
54,100034,2025-06-05,amazing experience highly recommended
55,100034,2025-07-20,excellent food and friendly service
56,100034,2025-11-25,tasty food with quick service
57,100034,2025-10-15,amazing experience highly recommended
58,100035,2025-12-19,delivery was late and food was cold would visit again
59,100035,2025-11-08,delivery was late and food was cold needs improvement
60,100035,2026-01-07,bad service and small portions
61,100036,2025-03-09,poor experience and rude staff
62,100037,2025-02-21,delicious dishes and great ambience
63,100037,2025-12-06,excellent food and friendly service
64,100038,2025-11-16,overpriced food with disappointing service
65,100039,2025-01-31,slow service and cold food
66,100043,2026-04-07,noisy place and disappointing experience would visit again
67,100043,2025-07-07,excellent food and friendly service worth trying
68,100043,2025-09-12,amazing experience highly recommended
69,100044,2025-06-02,amazing experience highly recommended worth trying
70,100044,2025-05-07,fresh ingredients and helpful staff not recommended
71,100045,2026-05-09,really good food and fast delivery
72,100046,2025-06-16,noisy place and disappointing experience
73,100046,2026-04-26,noisy place and disappointing experience not recommended
74,100047,2025-10-29,overpriced food with disappointing service
75,100047,2025-04-11,bad service and small portions needs improvement
76,100047,2026-05-22,excellent food and friendly service
77,100048,2025-10-01,tasty food with quick service
78,100048,2025-03-24,poor experience and rude staff
79,100048,2025-03-30,bad service and small portions
80,100048,2025-01-21,slow service and cold food
81,100049,2026-03-08,bad service and small portions
82,100049,2025-10-08,amazing experience highly recommended needs improvement
83,100049,2026-02-03,long waiting time and average food worth trying
84,100050,2025-11-23,really good food and fast delivery not recommended
85,100051,2026-02-06,excellent food and friendly service
86,100051,2025-10-10,delicious dishes and great ambience
87,100051,2026-03-11,tasty food with quick service
88,100052,2026-06-29,overpriced food with disappointing service
89,100052,2026-06-04,delivery was late and food was cold
90,100052,2026-03-29,long waiting time and average food needs improvement
91,100053,2026-04-05,fresh ingredients and helpful staff
92,100053,2025-05-06,amazing experience highly recommended not recommended
93,100054,2025-03-30,poor experience and rude staff needs improvement
94,100054,2026-05-05,long waiting time and average food
95,100054,2026-05-17,slow service and cold food
96,100054,2025-06-25,delivery was late and food was cold needs improvement
97,100055,2026-03-11,delivery was late and food was cold
98,100055,2025-11-10,noisy place and disappointing experience worth trying
99,100056,2025-07-20,great value and wonderful atmosphere worth trying
100,100057,2025-01-11,excellent food and friendly service
101,100058,2026-05-24,amazing experience highly recommended
102,100058,2025-02-10,poor experience and rude staff
103,100058,2025-10-21,
104,100059,2025-12-15,really good food and fast delivery
105,100059,2025-03-31,noisy place and disappointing experience
106,100059,2026-07-08,long waiting time and average food
107,100059,2025-11-08,really good food and fast delivery
108,100059,2026-05-14,overpriced food with disappointing service
109,100059,2025-07-18,bad service and small portions
110,100060,2025-05-25,bad service and small portions needs improvement
111,100061,2026-02-17,poor experience and rude staff
112,100061,2025-07-31,bad service and small portions
113,100061,2026-05-18,long waiting time and average food
114,100062,2025-10-21,bad service and small portions
115,100063,2026-01-31,overpriced food with disappointing service
116,100063,2025-09-24,overpriced food with disappointing service needs improvement
117,100064,2025-10-22,bad service and small portions
118,100065,2025-08-16,amazing experience highly recommended would visit again
119,100066,2026-04-17,delicious dishes and great ambience worth trying
120,100067,2025-05-22,great value and wonderful atmosphere would visit again
121,100067,2025-11-10,tasty food with quick service
122,100067,2025-01-04,delivery was late and food was cold worth trying
