RestaurantID,Has Online delivery,Has Table booking
100001,No,No
100002,No,No
100003,Yes,No
100004,Yes,No
100005,No,No
100006,Yes,No
100007,No,no
100008,No,No
100009,Yes,No
100010,Yes,Yes
100011,Yes,No
100012,Yes,No
100013,No,Yes
100014,No,No
100015,No,No
100016,No,No
100017,Yes,No
100018,No,No
100019,No,No
100020,No,No
100021,No,No
100022,No,No
100023,No,No
100024,Yes,No
100025,Yes,No
100026,No,No
100027,No,No
100028,Yes,No
100029,No,Yes
100030,No, No
100031,Yes,No
100032,No,Yes
100033,Yes,No
100034,Yes,No
100035,Yes,No
100036,No,No
100037,No,No
100038,Yes,No
100039,No,No
100040,Yes,No
100041,Yes,No
100042,No,No
100043,No,No
100044,No,No
100045,No,No
100046,Yes,No
100047,Yes,No
100048,No,No
100049,No,No
100050,No,Yes
100051,Yes,No
100052,No,No
100053,No,No
100054,Yes, No
100055,Yes,No
100056,Yes,No
100057,No,No
100058,No,No
100059,No,Yes
100060,No,No
100061,Yes,No
100062,No,No
100063,No,No
100064,No,No
100065,No,No
100066,Yes,No
100067,No,No
100068,Yes,No
100069,Yes,No
100070,Yes,Yes
100071,No,Yes
100072,No,No
100073,Yes,No
100074,Yes,No
100075,Yes,Yes
100076,Yes,No
100077,No,No
100078,Yes,No
100079,Yes,No
100080,No,Yes
100081,Yes,No
100082,Y,No
100083,No,No
100084,No,Yes
100085,No,No
100086,No,Yes
100087,Yes,No
100088,No,No
100089,Yes,No
100090,No,No
100091,No,No
100092,No,No
100093,Yes,No
100094,No,No
100095,Yes,Yes
100096,No,No
100097,No,No
100098,No,No
100099,No,No
100100,Yes,No
100101,No,Yes
100102,Yes,No
100103,Yes,No
100104,Yes,No
100105,No,No
100106,No,No
100107,Yes,No
100108,No,No
100109,No,No
100110,No,No
100111,Yes,No
100112,No,No
100113,No,No
100114,Yes,No
100115,No,No
100116,No,No
100117,No,No
100118,Yes,No
100119,Yes,No
100120,Yes,No
100121,No,No
100122,Yes,No
100123,No,No
100124,No,No
100125,No,No
100126,Yes,No
100127,No,No
100128,No,No
100129,No,No
100130,Yes,No
100131,No,Yes
100132,No,No
100133,No,No
100134,No,No
100135,Yes,No
100136,Yes,No
100137,No,No
100138,Yes,No
100139,Yes,No
100140,No,No
100141,Yes,No
100142,Yes,No
100143,Yes,No
100144,No,No
100145,No,No
100146,Yes,No
100147,No,No
100148,Yes,No
100149,No,No
100150,No,No
100151,No,No
100152,No,No
100153,No,No
100154,No,No
